generated randoms
 2100341266307895239  8344256300489757943 15687933285484243894 
 8268620370277076319 12371852309826545459  8800491541730110238 
18113268950100835773  2886823658884438119  3293667307248180724 
 9307928143300172731  7688082017574293629   900986224735166665 
 9977972710722265039  6008205004994830552   546909104521689292 
 7428471521869107594 14777563419314721179 16116143076567350053 
 5322685342003142329  4200427048445863473  4693092150132559146 
13671425863759338582  6747117460737639916  4732666080236551150 
 5912839950611941263  3903717554504704909  2615667650256786818 
10844129913887006352 13786467861810997820 14267853002994021570 
13767807302847237439 16407963253707224617  4802498363698583497 
 2523802839317209764  3822579397797475589  8950320572212130610 
 3745623504978342534 16092609066068482806  9817016950274642398 
10591660660323829098 11751606650792815920  5122873818577122211 
17209553764913936624  6249057709284380343 15088791264695071830 
15344673071709851930  4345751415293646084  2542865750703067928 
13520525127852368784 18294188662880997241  3871781938044881523 
 2873487268122812184 15099676759482679005 15442599127239350490 
 6311893274367710888  3286118760484672933  4146067961333542189 
13303942567897208770  8196013722255630418  4437815439340979989 
15433791533450605135  4254828956815687049  1310903207708286015 
10529182764462398549 14900231311660638810  9727017277104609793 
 1821308310948199033 11628861435066772084  9469019138491546924 
 3145812670532604988  9938468915045491919  1562447430672662142 
13963995266697989134  3356884357625028695  4499850304584309747 
 8456825817023658122 10859039922814285279  8099512337972526555 
  348006375109672149 11919893998241688603  1104199577402948826 
16689191854356060289 10992552041730168078  7243733172705465836 
 5668075606180319560 18182847037333286970  4290215357664631322 
 4061414220791828613 13006291061652989604  7140491178917128798 
12703446217663283481  5500220597564558267 10330551509971296358 
15958554768648714492  5174555954515360045  1731318837687577735 
 3557700801048354857 13764012341928616198 13115166194379119043 
 7989321021560255519  2103584280905877040  9230788662155228488 
16396629323325547654   657926409811318051 15046700264391400727 
 5120132858771880830  7934160097989028561  6963121488531976245 
17412329602621742089 15144843053931774092 17204176651763054532 
13166595387554065870  8590377810513960213  5834365135373991938 
 7640913007182226243  3479394703859418425 16402784452644521040 
 4993979809687083980 13254522168097688865 15643659095244365219 
 5881437660538424982 11174892200618987379   254409966159711077 
17158413043140549909  3638048789290376272  1376816930299489190 
